trade_id,entry_time_utc,source_id,proposal_rule,causal_rank,prior_20_profit_factor,source_health_cost_offset_usd,prior_virtual_profit_factor,prior_consecutive_losses,prior_source_closed_count,candidate_endpoint_pnl_usd,baseline_runtime_executed,baseline_runtime_pnl_usd
V9_BREAK_20210618T014000Z_LONG,2021-06-18T01:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0,0.28356907023919387,0.0,0.38329598432346945,0,61,-3.982291666666667,True,-3.982291666666667
V7_20210813T105500Z_SHORT,2021-08-13T10:55:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03888888888888889,0.47977070225939067,0.0,0.8860630426114865,1,64,-4.006597222222222,True,-4.006597222222222
V9_BREAK_20220802T132500Z_SHORT,2022-08-02T13:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08868501529051988,0.8123660373894055,0.0,0.6547633580550127,8,106,-6.327940880607618,True,-6.327940880607618
2023-11-27 14:30:00|LONG|r1_h1_pullback_long_v1,2023-11-27T14:30:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.03012912482065997,0.44175049436849795,0.0,1.2594074074074075,10,95,-5.819999999999999,True,-5.819999999999999
2023-11-29 11:45:00|LONG|r1_h1_pullback_long_v1,2023-11-29T11:45:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.09943181818181818,0.269076974341886,0.0,5.247393364928909,0,98,-3.8099999999999996,True,-3.8099999999999996
V9_BREAK_20240717T024000Z_SHORT,2024-07-17T02:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08178844056706652,0.5892100732708568,0.0,0.4008078105987337,0,210,-5.910688466892245,True,2.2394354698303482
V9_BREAK_20240718T070500Z_LONG,2024-07-18T07:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09229098805646037,0.540193729016698,0.0,0.511974920098254,0,211,-4.417077028974225,True,-4.417077028974225
V7_20241007T082500Z_SHORT,2024-10-07T08:25:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03788634097706879,0.40861652353488476,0.0,0.3638869043959852,1,235,-4.839140796303192,True,-4.839140796303192
V9_BREAK_20241024T075000Z_SHORT,2024-10-24T07:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0647342995169082,0.7135240672209707,0.0,0.6430693745893092,1,233,-4.121659523873351,True,-4.121659523873351
V7_20250704T073500Z_LONG,2025-07-04T07:35:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.014328808446455505,0.8733288666257494,0.0,1.5181844322047024,2,329,-4.8879749332363716,True,-4.8879749332363716
V9_BREAK_20250924T000500Z_SHORT,2025-09-24T00:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09795630725863284,0.9817135707692763,0.0,1.1786210768167134,0,340,-5.680395270063707,True,-5.680395270063707
V9_BREAK_20250924T011000Z_LONG,2025-09-24T01:10:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.03943661971830986,0.9817135707692763,0.0,1.207387183554094,0,340,-6.53165427614743,True,-6.53165427614743
V9_BREAK_20260325T013500Z_LONG,2026-03-25T01:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.026200873362445413,1.3802389121984873,0.0,1.5858922629934187,1,423,-25.591208720530712,True,-25.591208720530712
